Department/Function,Software Type,Frequency,Duration,Ra1,Ra2,Ra3,Ra4,Ra5,Res1,Res2,Res3,Res4,Res5,Rel1,Rel2,Rel3,Rel4,Rel5,Fl1,Fl2,Fl3,Fl4,Fl5,Fe1,Fe2,Fe3,Fe4,Fe5,Sec1,Sec2,Sec3,Sec4,Sec5,satisfaction
Founder/ Principal,"School Management, Accounting, Finance",Daily,More than 3 years,4,2,4,5,4,4,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,3
Administration,"School Management, Accounting, Finance, Attendance",Daily,More than 3 years,4,4,4,5,5,4,4,5,4,5,5,4,4,5,5,4,4,3,4,4,4,4,5,5,5,5,4,4,4,5,4
Founder/ Principal,"School Management, Accounting, Finance, Attendance",Daily,More than 3 years,4,4,4,5,4,4,4,4,4,4,3,4,4,4,3,3,4,4,4,4,3,4,4,4,4,4,3,4,3,4,3
Account,"School Management, Accounting",Daily,More than 3 years,5,5,5,5,5,4,5,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4
Account,"School Management, Accounting",Daily,1 – 3 years,4,3,3,4,4,3,4,4,3,4,5,4,4,4,4,4,3,3,4,3,4,4,4,3,3,4,4,4,3,3,4
Teaching,School Management,Monthly,More than 3 years,4,5,4,4,5,4,4,2,4,2,2,4,3,4,2,2,2,3,2,3,2,4,4,4,4,3,3,2,3,3,4
Founder/ Principal,"School Management, Accounting",Daily,More than 3 years,4,3,4,4,4,4,5,4,3,2,3,5,4,4,3,4,4,5,3,4,3,4,4,4,4,5,4,5,3,4,4
Administration,School Management,Daily,More than 3 years,5,4,4,5,4,5,5,4,3,3,4,4,4,5,4,4,4,5,3,3,3,4,4,5,4,4,3,3,4,3,3
Administration,"School Management, Accounting, Finance, Attendance",Daily,More than 3 years,4,3,4,5,4,4,5,4,4,4,3,4,4,4,4,4,4,5,4,3,4,4,4,4,4,4,4,4,4,4,4
Account,"School Management, Accounting, Finance",Daily,More than 3 years,5,3,5,5,5,5,5,4,4,4,4,5,5,5,5,4,5,5,5,4,5,4,4,5,4,4,3,4,3,4,4
Founder/ Principal,School Management,Daily,More than 3 years,4,3,4,5,4,5,4,4,3,4,2,3,4,3,4,4,4,4,5,4,4,4,4,4,4,4,3,4,3,3,4
IT,"School Management, Accounting",Daily,More than 3 years,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4
Administration,"School Management, Attendance",Weekly,More than 3 years,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3
Administration,"School Management, Accounting, Finance, Attendance",Daily,More than 3 years,4,3,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,3,4,4,4,3
Administration,"School Management, Accounting, Finance, Attendance",Daily,More than 3 years,5,4,5,5,4,4,5,4,5,4,4,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,4,4,4,5,5
Founder/ Principal,School Management,Daily,6 months – 1 year,5,3,3,4,5,4,4,4,3,4,5,5,4,5,3,4,4,5,4,5,4,3,4,4,4,3,3,4,3,4,5
Administration,"School Management, Accounting, Finance, Attendance",Daily,More than 3 years,4,3,4,3,4,4,4,4,3,4,2,2,4,3,2,4,4,4,4,4,4,4,3,2,3,4,3,3,3,4,4
Vice-principal,"School Management, Accounting, Attendance",Daily,More than 3 years,4,3,3,5,4,4,4,4,3,4,4,4,4,4,5,3,3,4,4,4,3,3,4,4,4,4,3,4,4,4,4
Account,"School Management, Accounting, Finance",Daily,More than 3 years,5,3,5,5,5,5,5,4,4,4,4,5,5,5,5,4,5,5,5,4,5,4,4,5,4,4,3,4,3,4,4
Account,"School Management, Accounting",Daily,1 – 3 years,4,3,3,4,4,3,4,4,3,4,5,4,4,4,4,4,3,3,4,3,4,4,4,3,3,4,4,4,3,3,4
Founder/ Principal,"School Management, Accounting, Finance",Daily,More than 3 years,4,2,4,5,4,4,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,3
Founder/ Principal,"School Management, Accounting, Finance, Attendance",Daily,More than 3 years,4,4,4,4,4,2,4,4,3,3,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,5,4,4,4,4,5
Founder/ Principal,School Management,Daily,More than 3 years,4,3,4,5,4,5,4,4,3,4,2,3,4,3,4,4,4,4,5,4,4,4,4,4,4,4,3,4,3,3,4
Vice-principal,"School Management, Accounting, Attendance",Daily,More than 3 years,4,3,3,5,4,4,4,4,3,4,4,4,4,4,5,3,3,4,4,4,3,3,4,4,4,4,3,4,4,4,4
Founder/ Principal,School Management,Daily,6 months – 1 year,5,3,3,4,5,4,4,4,3,4,5,5,4,5,3,4,4,5,4,5,4,3,4,4,4,3,3,4,3,4,5
Administration,"School Management, Accounting, Finance, Attendance",Daily,More than 3 years,4,3,4,5,4,4,5,4,4,4,3,4,4,4,4,4,4,5,4,3,4,4,4,4,4,4,4,4,4,4,4
Administration,"School Management, Attendance",Weekly,More than 3 years,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3
Founder/ Principal,"School Management, Accounting, Finance",Daily,More than 3 years,4,2,4,5,4,4,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,3
Founder/ Principal,"School Management, Accounting, Finance",Daily,More than 3 years,4,2,4,5,4,4,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,3
Administration,"School Management, Accounting, Finance, Attendance",Daily,More than 3 years,4,3,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,3,4,4,4,3
Founder/ Principal,School Management,Daily,More than 3 years,4,3,4,5,4,5,4,4,3,4,2,3,4,3,4,4,4,4,5,4,4,4,4,4,4,4,3,4,3,3,4
Founder/ Principal,"School Management, Accounting",Daily,More than 3 years,4,2,4,5,4,4,4,5,2,4,5,4,4,5,3,3,3,3,4,4,2,2,4,3,4,4,3,3,3,4,4
Founder/ Principal,"School Management, Accounting, Finance, Attendance",Daily,More than 3 years,4,4,4,4,4,2,4,4,3,3,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,5,4,4,4,4,5
Administration,"School Management, Accounting, Finance, Attendance",Daily,More than 3 years,4,3,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,3,4,4,4,3
Account,"School Management, Accounting, Finance, Attendance",Daily,More than 3 years,5,5,4,5,4,4,4,5,4,5,3,4,4,4,3,4,4,4,5,5,4,4,4,4,4,5,5,5,4,4,4
IT,"School Management, Accounting",Daily,More than 3 years,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4
Founder/ Principal,School Management,Daily,More than 3 years,4,3,4,5,4,5,4,4,3,4,2,3,4,3,4,4,4,4,5,4,4,4,4,4,4,4,3,4,3,3,4
IT,"School Management, Accounting, Finance",Weekly,More than 3 years,2,4,2,2,2,4,4,4,4,3,2,3,3,2,3,3,3,3,2,2,3,4,4,3,3,3,3,3,4,5,5
Administration,"School Management, Accounting, Finance, Attendance",Daily,More than 3 years,4,3,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,3,4,4,4,3
Administration,"School Management, Accounting, Finance, Attendance",Daily,More than 3 years,4,4,4,5,5,4,4,5,4,5,5,4,4,5,5,4,4,3,4,4,4,4,5,5,5,5,4,4,4,5,4
Administration,"School Management, Accounting, Finance",Daily,More than 3 years,5,3,4,5,5,4,5,4,5,5,4,5,5,4,4,4,4,4,4,5,5,5,4,4,5,4,4,4,4,4,5
IT,"School Management, Accounting, Finance",Weekly,More than 3 years,2,4,2,2,2,4,4,4,4,3,2,3,3,2,3,3,3,3,2,2,3,4,4,3,3,3,3,3,4,5,5
Founder/ Principal,School Management,Daily,More than 3 years,4,3,4,5,4,5,4,4,3,4,2,3,4,3,4,4,4,4,5,4,4,4,4,4,4,4,3,4,3,3,4
IT,"School Management, Accounting, Finance, Attendance",Daily,More than 3 years,4,4,4,4,5,3,2,1,4,3,5,1,2,3,4,5,4,3,2,1,5,5,4,4,4,4,3,3,3,5,4
Administration,"School Management, Accounting, Finance, Attendance",Daily,More than 3 years,4,4,4,5,5,4,4,5,4,5,5,4,4,5,5,4,4,3,4,4,4,4,5,5,5,5,4,4,4,5,4
Founder/ Principal,School Management,Daily,6 months – 1 year,5,3,3,4,5,4,4,4,3,4,5,5,4,5,3,4,4,5,4,5,4,3,4,4,4,3,3,4,3,4,5
IT,"School Management, Accounting",Daily,More than 3 years,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4
Administration,"School Management, Accounting, Finance, Attendance",Daily,More than 3 years,4,4,4,5,5,4,4,5,4,5,5,4,4,5,5,4,4,3,4,4,4,4,5,5,5,5,4,4,4,5,4
Administration,"School Management, Accounting, Finance, Attendance",Daily,More than 3 years,5,4,5,5,4,4,5,4,5,4,4,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,4,4,4,5,5
Founder/ Principal,"School Management, Accounting",Daily,More than 3 years,4,3,4,4,4,4,5,4,3,2,3,5,4,4,3,4,4,5,3,4,3,4,4,4,4,5,4,5,3,4,4
Administration,"School Management, Accounting, Finance, Attendance",Daily,More than 3 years,4,3,4,3,4,4,4,4,3,4,2,2,4,3,2,4,4,4,4,4,4,4,3,2,3,4,3,3,3,4,4
Administration,"School Management, Accounting, Finance, Attendance",Daily,More than 3 years,4,3,4,3,4,4,4,4,3,4,2,2,4,3,2,4,4,4,4,4,4,4,3,2,3,4,3,3,3,4,4
Founder/ Principal,"School Management, Accounting, Finance",Daily,More than 3 years,4,3,3,4,3,3,3,2,3,2,3,3,3,3,2,3,3,3,1,3,2,2,3,2,3,3,3,3,3,3,3
Teaching,School Management,Monthly,More than 3 years,4,5,4,4,5,4,4,2,4,2,2,4,3,4,2,2,2,3,2,3,2,4,4,4,4,3,3,2,3,3,4
Account,"School Management, Accounting",Daily,1 – 3 years,4,3,3,4,4,3,4,4,3,4,5,4,4,4,4,4,3,3,4,3,4,4,4,3,3,4,4,4,3,3,4
Account,"School Management, Accounting",Daily,1 – 3 years,4,3,3,4,4,3,4,4,3,4,5,4,4,4,4,4,3,3,4,3,4,4,4,3,3,4,4,4,3,3,4
Administration,"School Management, Accounting, Finance, Attendance",Daily,More than 3 years,4,3,4,5,4,4,5,4,4,4,3,4,4,4,4,4,4,5,4,3,4,4,4,4,4,4,4,4,4,4,4
Administration,"School Management, Accounting, Finance, Attendance",Daily,More than 3 years,4,4,4,5,5,4,4,5,4,5,5,4,4,5,5,4,4,3,4,4,4,4,5,5,5,5,4,4,4,5,4
Administration,"School Management, Attendance",Weekly,More than 3 years,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3
Account,"School Management, Accounting, Finance",Daily,More than 3 years,5,3,5,5,5,5,5,4,4,4,4,5,5,5,5,4,5,5,5,4,5,4,4,5,4,4,3,4,3,4,4
Administration,"School Management, Accounting, Finance, Attendance",Daily,More than 3 years,5,4,5,5,4,4,5,4,5,4,4,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,4,4,4,5,5
Account,"School Management, Accounting, Finance, Attendance",Daily,More than 3 years,5,5,4,5,4,4,4,5,4,5,3,4,4,4,3,4,4,4,5,5,4,4,4,4,4,5,5,5,4,4,4
Founder/ Principal,School Management,Daily,More than 3 years,4,3,4,5,4,4,5,4,4,4,4,4,5,4,3,4,4,4,4,4,3,4,5,5,5,4,4,3,3,4,4
Administration,"School Management, Accounting, Finance, Attendance",Daily,More than 3 years,4,3,4,5,4,4,5,4,4,4,3,4,4,4,4,4,4,5,4,3,4,4,4,4,4,4,4,4,4,4,4
Vice-principal,"School Management, Accounting, Attendance",Daily,More than 3 years,4,3,3,5,4,4,4,4,3,4,4,4,4,4,5,3,3,4,4,4,3,3,4,4,4,4,3,4,4,4,4
Founder/ Principal,School Management,Daily,More than 3 years,4,3,4,5,4,5,4,4,3,4,2,3,4,3,4,4,4,4,5,4,4,4,4,4,4,4,3,4,3,3,4
Founder/ Principal,"School Management, Accounting, Finance, Attendance",Daily,More than 3 years,5,4,5,4,5,4,4,4,4,4,5,5,4,4,4,4,4,5,5,5,4,5,5,4,4,4,5,4,5,4,4
Vice-principal,"School Management, Accounting, Attendance",Daily,More than 3 years,4,3,3,5,4,4,4,4,3,4,4,4,4,4,5,3,3,4,4,4,3,3,4,4,4,4,3,4,4,4,4
Administration,School Management,Daily,More than 3 years,5,4,4,5,4,5,5,4,3,3,4,4,4,5,4,4,4,5,3,3,3,4,4,5,4,4,3,3,4,3,3
Founder/ Principal,"School Management, Accounting",Daily,More than 3 years,4,2,4,5,4,4,4,5,2,4,5,4,4,5,3,3,3,3,4,4,2,2,4,3,4,4,3,3,3,4,4
Administration,"School Management, Accounting, Finance, Attendance",Daily,More than 3 years,5,4,5,5,4,4,5,4,5,4,4,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,4,4,4,5,5
Account,"School Management, Accounting",Daily,More than 3 years,5,5,5,5,5,4,5,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4
Administration,School Management,Daily,More than 3 years,5,4,4,5,4,5,5,4,3,3,4,4,4,5,4,4,4,5,3,3,3,4,4,5,4,4,3,3,4,3,3
Founder/ Principal,School Management,Daily,6 months – 1 year,5,3,3,4,5,4,4,4,3,4,5,5,4,5,3,4,4,5,4,5,4,3,4,4,4,3,3,4,3,4,5
Founder/ Principal,"School Management, Accounting, Finance, Attendance",Daily,More than 3 years,5,4,5,4,5,4,4,4,4,4,5,5,4,4,4,4,4,5,5,5,4,5,5,4,4,4,5,4,5,4,4
Founder/ Principal,School Management,Daily,6 months – 1 year,5,3,3,4,5,4,4,4,3,4,5,5,4,5,3,4,4,5,4,5,4,3,4,4,4,3,3,4,3,4,5
Founder/ Principal,School Management,Daily,More than 3 years,4,3,4,5,4,5,4,4,3,4,2,3,4,3,4,4,4,4,5,4,4,4,4,4,4,4,3,4,3,3,4
IT,"School Management, Accounting, Finance",Weekly,More than 3 years,2,4,2,2,2,4,4,4,4,3,2,3,3,2,3,3,3,3,2,2,3,4,4,3,3,3,3,3,4,5,5
Account,"School Management, Accounting, Finance",Daily,More than 3 years,5,3,5,5,5,5,5,4,4,4,4,5,5,5,5,4,5,5,5,4,5,4,4,5,4,4,3,4,3,4,4
Account,"School Management, Accounting",Daily,1 – 3 years,4,3,3,4,4,3,4,4,3,4,5,4,4,4,4,4,3,3,4,3,4,4,4,3,3,4,4,4,3,3,4
Vice-principal,"School Management, Accounting, Attendance",Daily,More than 3 years,4,3,3,5,4,4,4,4,3,4,4,4,4,4,5,3,3,4,4,4,3,3,4,4,4,4,3,4,4,4,4
Administration,"School Management, Accounting, Finance, Attendance",Daily,More than 3 years,4,4,4,5,5,4,4,5,4,5,5,4,4,5,5,4,4,3,4,4,4,4,5,5,5,5,4,4,4,5,4
Founder/ Principal,"School Management, Accounting, Finance, Attendance",Daily,More than 3 years,4,4,4,4,4,2,4,4,3,3,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,5,4,4,4,4,5
Account,"School Management, Accounting",Daily,1 – 3 years,4,3,3,4,4,3,4,4,3,4,5,4,4,4,4,4,3,3,4,3,4,4,4,3,3,4,4,4,3,3,4
Account,"School Management, Accounting, Finance, Attendance",Daily,More than 3 years,5,5,4,5,4,4,4,5,4,5,3,4,4,4,3,4,4,4,5,5,4,4,4,4,4,5,5,5,4,4,4
Account,"School Management, Accounting",Daily,More than 3 years,5,5,5,5,5,4,5,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4
Founder/ Principal,"School Management, Accounting",Daily,More than 3 years,4,3,4,4,4,4,5,4,3,2,3,5,4,4,3,4,4,5,3,4,3,4,4,4,4,5,4,5,3,4,4
Founder/ Principal,"School Management, Accounting",Daily,More than 3 years,4,2,4,5,4,4,4,5,2,4,5,4,4,5,3,3,3,3,4,4,2,2,4,3,4,4,3,3,3,4,4
Administration,School Management,Daily,More than 3 years,5,4,4,5,4,5,5,4,3,3,4,4,4,5,4,4,4,5,3,3,3,4,4,5,4,4,3,3,4,3,3
Founder/ Principal,"School Management, Accounting, Finance, Attendance",Daily,More than 3 years,4,4,4,4,4,2,4,4,3,3,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,5,4,4,4,4,5
Founder/ Principal,"School Management, Accounting",Daily,More than 3 years,4,2,4,5,4,4,4,5,2,4,5,4,4,5,3,3,3,3,4,4,2,2,4,3,4,4,3,3,3,4,4
IT,"School Management, Accounting, Finance",Weekly,More than 3 years,2,4,2,2,2,4,4,4,4,3,2,3,3,2,3,3,3,3,2,2,3,4,4,3,3,3,3,3,4,5,5
Administration,"School Management, Accounting, Finance",Daily,More than 3 years,5,3,4,5,5,4,5,4,5,5,4,5,5,4,4,4,4,4,4,5,5,5,4,4,5,4,4,4,4,4,5
IT,"School Management, Accounting",Daily,More than 3 years,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4
Founder/ Principal,"School Management, Accounting, Finance",Daily,More than 3 years,4,3,3,4,3,3,3,2,3,2,3,3,3,3,2,3,3,3,1,3,2,2,3,2,3,3,3,3,3,3,3
Founder/ Principal,"School Management, Accounting",Daily,More than 3 years,4,2,4,5,4,4,4,5,2,4,5,4,4,5,3,3,3,3,4,4,2,2,4,3,4,4,3,3,3,4,4
IT,"School Management, Accounting",Daily,More than 3 years,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4
Administration,School Management,Daily,More than 3 years,5,4,4,5,4,5,5,4,3,3,4,4,4,5,4,4,4,5,3,3,3,4,4,5,4,4,3,3,4,3,3
Founder/ Principal,School Management,Daily,6 months – 1 year,5,3,3,4,5,4,4,4,3,4,5,5,4,5,3,4,4,5,4,5,4,3,4,4,4,3,3,4,3,4,5
Administration,"School Management, Accounting, Finance, Attendance",Daily,More than 3 years,4,4,4,5,5,4,4,5,4,5,5,4,4,5,5,4,4,3,4,4,4,4,5,5,5,5,4,4,4,5,4
IT,"School Management, Accounting, Finance",Weekly,More than 3 years,2,4,2,2,2,4,4,4,4,3,2,3,3,2,3,3,3,3,2,2,3,4,4,3,3,3,3,3,4,5,5
Founder/ Principal,"School Management, Accounting, Finance",Daily,More than 3 years,4,3,3,4,3,3,3,2,3,2,3,3,3,3,2,3,3,3,1,3,2,2,3,2,3,3,3,3,3,3,3
Founder/ Principal,"School Management, Accounting",Daily,More than 3 years,4,2,4,5,4,4,4,5,2,4,5,4,4,5,3,3,3,3,4,4,2,2,4,3,4,4,3,3,3,4,4
Account,"School Management, Accounting",Daily,More than 3 years,5,5,5,5,5,4,5,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4
Teaching,School Management,Monthly,More than 3 years,4,5,4,4,5,4,4,2,4,2,2,4,3,4,2,2,2,3,2,3,2,4,4,4,4,3,3,2,3,3,4
Account,"School Management, Accounting",Daily,1 – 3 years,4,3,3,4,4,3,4,4,3,4,5,4,4,4,4,4,3,3,4,3,4,4,4,3,3,4,4,4,3,3,4
Founder/ Principal,"School Management, Accounting, Finance, Attendance",Daily,More than 3 years,4,4,4,4,4,2,4,4,3,3,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,5,4,4,4,4,5
Account,"School Management, Accounting",Daily,More than 3 years,5,5,5,5,5,4,5,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4
Administration,"School Management, Attendance",Weekly,More than 3 years,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3
Administration,"School Management, Accounting, Finance, Attendance",Daily,More than 3 years,5,4,5,5,4,4,5,4,5,4,4,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,4,4,4,5,5
Founder/ Principal,"School Management, Accounting, Finance, Attendance",Daily,More than 3 years,4,4,4,4,4,2,4,4,3,3,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,5,4,4,4,4,5
Founder/ Principal,School Management,Daily,More than 3 years,4,3,4,5,4,5,4,4,3,4,2,3,4,3,4,4,4,4,5,4,4,4,4,4,4,4,3,4,3,3,4
Teaching,School Management,Monthly,More than 3 years,4,5,4,4,5,4,4,2,4,2,2,4,3,4,2,2,2,3,2,3,2,4,4,4,4,3,3,2,3,3,4
Founder/ Principal,"School Management, Accounting, Finance, Attendance",Daily,More than 3 years,4,4,4,5,4,4,4,4,4,4,3,4,4,4,3,3,4,4,4,4,3,4,4,4,4,4,3,4,3,4,3
Administration,School Management,Daily,More than 3 years,5,4,4,5,4,5,5,4,3,3,4,4,4,5,4,4,4,5,3,3,3,4,4,5,4,4,3,3,4,3,3
Account,"School Management, Accounting",Daily,1 – 3 years,4,3,3,4,4,3,4,4,3,4,5,4,4,4,4,4,3,3,4,3,4,4,4,3,3,4,4,4,3,3,4
Founder/ Principal,School Management,Daily,More than 3 years,4,3,4,5,4,5,4,4,3,4,2,3,4,3,4,4,4,4,5,4,4,4,4,4,4,4,3,4,3,3,4
Administration,"School Management, Accounting, Finance, Attendance",Daily,More than 3 years,4,3,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,3,4,4,4,3
Founder/ Principal,School Management,Daily,6 months – 1 year,5,3,3,4,5,4,4,4,3,4,5,5,4,5,3,4,4,5,4,5,4,3,4,4,4,3,3,4,3,4,5
